,nEff,nResp,step,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,ourNumEdges,ourNumZeroEdges,ourNumPosEdges,ourNumSigMoreEdges,DiffEdges,dfgNumEdges80,dfgNumEdges100,sdE1,sdE2,sdE3,sdE4,sda
65,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.04,0.17,0.58,0.21,7,1,6,4,7,7.0,11.0,0.017320508075688773,0.09237604307034013,0.29816103031751146,0.4045161719058131,0.2031
66,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.0,0.2,0.78,0.02,8,1,7,4,8,5.0,10.0,0.005773502691896258,0.10969655114602891,0.41016256939576207,0.5122824741617981,0.2595
67,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.03,0.37,0.01,0.59,6,0,6,3,6,6.0,11.0,0.011547005383792514,0.20784609690826528,0.09539392014169458,0.19553345834749952,0.1276
68,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.02,0.41,0.18,0.39,6,1,5,2,6,6.0,11.0,0.005773502691896258,0.23094010767585027,0.10115993936995679,0.30369941279714935,0.1604
69,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.04,0.38,0.41,0.17,8,1,7,4,8,7.0,11.0,0.017320508075688773,0.21361959960016155,0.20599352740640497,0.4271221527073178,0.216
70,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.02,0.36,0.62,0.0,9,2,7,4,9,5.0,10.0,0.005773502691896258,0.20207259421636903,0.32036437588054845,0.5236729259120938,0.263
71,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.0,0.58,0.0,0.42,6,0,6,3,6,5.0,9.0,0.005773502691896258,0.32908965343808666,0.09814954576223639,0.28711205710198473,0.18
72,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.02,0.58,0.2,0.2,8,1,7,4,8,6.0,11.0,0.005773502691896258,0.32908965343808666,0.10785793124908959,0.41016256939576207,0.2132
73,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.0,0.61,0.38,0.01,8,1,7,4,8,5.0,10.0,0.005773502691896258,0.34641016151377546,0.1903505538035898,0.5179768334587947,0.2651
74,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.02,0.77,0.01,0.2,7,0,7,4,7,5.0,11.0,0.005773502691896258,0.4387862045841156,0.09539392014169458,0.41016256939576207,0.2375
